country-year;population;generation
Albania2007;281080;Millenials
Albania2007;288349;Millenials
Albania2007;183629;Generation X
Albania2007;221120;Silent
Albania2007;391811;Boomers
Albania2007;272497;Generation Z
Albania2007;256808;Generation Z
Albania2008;172855;Generation X
Albania2008;377119;Boomers
Albania2008;228672;Silent
Albania2008;59369;Silent
Albania2008;276073;Millenials
Albania2008;182663;Generation X
Albania2008;393832;Boomers
Albania2008;44574;Silent
Albania2008;286702;Millenials
Albania2008;226448;Silent
Albania2008;262464;Generation Z
Albania2008;246288;Generation Z
Albania2009;270003;Millenials
Albania2009;182712;Generation X
Albania2009;394286;Boomers
Albania2009;236174;Generation Z
Albania2009;233302;Silent
Albania2009;61582;Silent
Albania2009;283448;Millenials
Albania2009;174955;Generation X
Albania2009;374365;Boomers
Albania2009;253007;Generation Z
Albania2009;234570;Silent
Albania2009;47331;Silent
Albania2010;241852;Silent
Albania2010;371611;Generation X
Albania2010;179720;Generation X
Albania2010;50767;Silent
Albania2010;279508;Millenials
Albania2010;183579;Generation X
Albania2010;64415;Silent
Albania2010;394593;Generation X
Albania2010;241491;Silent
Albania2010;263581;Millenials
Albania2010;223969;Generation Z
Albania2010;240939;Generation Z
Antigua and Barbuda1985;7709;Generation X
Antigua and Barbuda1985;6344;Boomers
Antigua and Barbuda1985;6173;Silent
Antigua and Barbuda1985;7339;Generation X
Antigua and Barbuda1985;3778;G.I. Generation
Antigua and Barbuda1985;949;G.I. Generation
Antigua and Barbuda1985;7667;Generation X
Antigua and Barbuda1985;6194;Boomers
Antigua and Barbuda1985;5970;Silent
Antigua and Barbuda1985;7304;Generation X
Antigua and Barbuda1985;2723;G.I. Generation
Antigua and Barbuda1985;424;G.I. Generation
Antigua and Barbuda1986;7668;Generation X
Antigua and Barbuda1986;6209;Boomers
Antigua and Barbuda1986;6101;Silent
Antigua and Barbuda1986;6907;Generation X
Antigua and Barbuda1986;3764;G.I. Generation
Antigua and Barbuda1986;1014;G.I. Generation
Antigua and Barbuda1986;7563;Generation X
Antigua and Barbuda1986;6023;Boomers
Antigua and Barbuda1986;5947;Silent
Antigua and Barbuda1986;6827;Generation X
Antigua and Barbuda1986;2771;G.I. Generation
Antigua and Barbuda1986;476;G.I. Generation
Antigua and Barbuda1987;7583;Generation X
Antigua and Barbuda1987;6101;Boomers
Antigua and Barbuda1987;6059;Silent
Antigua and Barbuda1987;6623;Generation X
Antigua and Barbuda1987;3738;G.I. Generation
Antigua and Barbuda1987;1081;G.I. Generation
Antigua and Barbuda1987;7421;Generation X
Antigua and Barbuda1987;5893;Boomers
Antigua and Barbuda1987;5927;Silent
Antigua and Barbuda1987;6499;Generation X
Antigua and Barbuda1987;2798;G.I. Generation
Antigua and Barbuda1987;538;G.I. Generation
Antigua and Barbuda1988;7413;Generation X
Antigua and Barbuda1988;6041;Boomers
Antigua and Barbuda1988;6021;Silent
Antigua and Barbuda1988;6527;Generation X
Antigua and Barbuda1988;3708;G.I. Generation
Antigua and Barbuda1988;1141;G.I. Generation
Antigua and Barbuda1988;7209;Generation X
Antigua and Barbuda1988;5826;Boomers
Antigua and Barbuda1988;5907;Silent
Antigua and Barbuda1988;6355;Generation X
Antigua and Barbuda1988;2813;G.I. Generation
Antigua and Barbuda1988;603;G.I. Generation
Antigua and Barbuda1989;7152;Generation X
Antigua and Barbuda1989;6059;Boomers
Antigua and Barbuda1989;5969;Silent
Antigua and Barbuda1989;6621;Generation X
Antigua and Barbuda1989;3696;G.I. Generation
Antigua and Barbuda1989;1195;G.I. Generation
Antigua and Barbuda1989;6927;Generation X
Antigua and Barbuda1989;5835;Boomers
Antigua and Barbuda1989;5862;Silent
Antigua and Barbuda1989;6403;Generation X
Antigua and Barbuda1989;2843;G.I. Generation
Antigua and Barbuda1989;676;G.I. Generation
Antigua and Barbuda1990;5799;Silent
Antigua and Barbuda1990;6827;Generation X
Antigua and Barbuda1990;6172;Boomers
Antigua and Barbuda1990;5895;Silent
Antigua and Barbuda1990;6877;Generation X
Antigua and Barbuda1990;3706;G.I. Generation
Antigua and Barbuda1990;1252;G.I. Generation
Antigua and Barbuda1990;6598;Generation X
Antigua and Barbuda1990;5937;Boomers
Antigua and Barbuda1990;6611;Generation X
Antigua and Barbuda1990;2902;G.I. Generation
Antigua and Barbuda1990;758;G.I. Generation
Antigua and Barbuda1991;6595;Generation X
Antigua and Barbuda1991;6396;Boomers
Antigua and Barbuda1991;6198;Boomers
Antigua and Barbuda1991;7089;Millenials
Antigua and Barbuda1991;3665;Silent
Antigua and Barbuda1991;1293;G.I. Generation
Antigua and Barbuda1991;6401;Generation X
Antigua and Barbuda1991;6156;Boomers
Antigua and Barbuda1991;6122;Boomers
Antigua and Barbuda1991;6818;Millenials
Antigua and Barbuda1991;2857;Silent
Antigua and Barbuda1991;804;G.I. Generation
Antigua and Barbuda1992;6369;Generation X
Antigua and Barbuda1992;6650;Boomers
Antigua and Barbuda1992;6534;Boomers
Antigua and Barbuda1992;7311;Millenials
Antigua and Barbuda1992;3648;Silent
Antigua and Barbuda1992;1339;G.I. Generation
Antigua and Barbuda1992;6221;Generation X
Antigua and Barbuda1992;6409;Boomers
Antigua and Barbuda1992;6497;Boomers
Antigua and Barbuda1992;7059;Millenials
Antigua and Barbuda1992;2851;Silent
Antigua and Barbuda1992;853;G.I. Generation
Antigua and Barbuda1993;6668;Boomers
Antigua and Barbuda1993;6182;Generation X
Antigua and Barbuda1993;6914;Boomers
Antigua and Barbuda1993;6917;Boomers
Antigua and Barbuda1993;7529;Millenials
Antigua and Barbuda1993;3662;Silent
Antigua and Barbuda1993;1386;G.I. Generation
Antigua and Barbuda1993;6069;Generation X
Antigua and Barbuda1993;6915;Boomers
Antigua and Barbuda1993;7298;Millenials
Antigua and Barbuda1993;2879;Silent
Antigua and Barbuda1993;896;G.I. Generation
Antigua and Barbuda1994;6083;Generation X
Antigua and Barbuda1994;7151;Boomers
Antigua and Barbuda1994;7357;Boomers
Antigua and Barbuda1994;7722;Millenials
Antigua and Barbuda1994;3715;Silent
Antigua and Barbuda1994;1437;G.I. Generation
Antigua and Barbuda1994;5976;Generation X
Antigua and Barbuda1994;6886;Boomers
Antigua and Barbuda1994;7359;Boomers
Antigua and Barbuda1994;7494;Millenials
Antigua and Barbuda1994;2935;Silent
Antigua and Barbuda1994;929;G.I. Generation
Antigua and Barbuda1995;6099;Generation X
Antigua and Barbuda1995;7333;Generation X
Antigua and Barbuda1995;7851;Boomers
Antigua and Barbuda1995;7885;Millenials
Antigua and Barbuda1995;3808;Silent
Antigua and Barbuda1995;1488;G.I. Generation
Antigua and Barbuda1995;5953;Generation X
Antigua and Barbuda1995;7023;Generation X
Antigua and Barbuda1995;7809;Boomers
Antigua and Barbuda1995;7632;Millenials
Antigua and Barbuda1995;3021;Silent
Antigua and Barbuda1995;944;G.I. Generation
Antigua and Barbuda1998;6529;Generation X
Antigua and Barbuda1998;8332;Generation X
Antigua and Barbuda1998;9615;Boomers
Antigua and Barbuda1998;8183;Millenials
Antigua and Barbuda1998;3921;Silent
Antigua and Barbuda1998;1476;G.I. Generation
Antigua and Barbuda1998;5916;Generation X
Antigua and Barbuda1998;7294;Generation X
Antigua and Barbuda1998;9086;Boomers
Antigua and Barbuda1998;7706;Millenials
Antigua and Barbuda1998;3213;Silent
Antigua and Barbuda1998;954;G.I. Generation
Antigua and Barbuda1999;6589;Generation X
Antigua and Barbuda1999;8526;Generation X
Antigua and Barbuda1999;10311;Boomers
Antigua and Barbuda1999;8314;Millenials
Antigua and Barbuda1999;3968;Silent
Antigua and Barbuda1999;1451;G.I. Generation
Antigua and Barbuda1999;5845;Generation X
Antigua and Barbuda1999;7263;Generation X
Antigua and Barbuda1999;9537;Boomers
Antigua and Barbuda1999;7805;Millenials
Antigua and Barbuda1999;3276;Silent
Antigua and Barbuda1999;947;G.I. Generation
Antigua and Barbuda2000;3333;Silent
Antigua and Barbuda2000;10033;Boomers
Antigua and Barbuda2000;6616;Generation X
Antigua and Barbuda2000;8595;Generation X
Antigua and Barbuda2000;11040;Boomers
Antigua and Barbuda2000;8439;Millenials
Antigua and Barbuda2000;3986;Silent
Antigua and Barbuda2000;1413;G.I. Generation
Antigua and Barbuda2000;5783;Generation X
Antigua and Barbuda2000;7177;Generation X
Antigua and Barbuda2000;7973;Millenials
Antigua and Barbuda2000;938;G.I. Generation
Antigua and Barbuda2001;10281;Boomers
Antigua and Barbuda2001;6902;Millenials
Antigua and Barbuda2001;8425;Generation X
Antigua and Barbuda2001;11402;Boomers
Antigua and Barbuda2001;8428;Millenials
Antigua and Barbuda2001;4037;Silent
Antigua and Barbuda2001;1487;Silent
Antigua and Barbuda2001;6084;Millenials
Antigua and Barbuda2001;7071;Generation X
Antigua and Barbuda2001;7958;Millenials
Antigua and Barbuda2001;3442;Silent
Antigua and Barbuda2001;980;Silent
Antigua and Barbuda2002;7196;Millenials
Antigua and Barbuda2002;8155;Generation X
Antigua and Barbuda2002;11760;Boomers
Antigua and Barbuda2002;8408;Millenials
Antigua and Barbuda2002;4050;Silent
Antigua and Barbuda2002;1547;Silent
Antigua and Barbuda2002;6416;Millenials
Antigua and Barbuda2002;6921;Generation X
Antigua and Barbuda2002;10604;Boomers
Antigua and Barbuda2002;7980;Millenials
Antigua and Barbuda2002;3527;Silent
Antigua and Barbuda2002;1024;Silent
Antigua and Barbuda2003;3594;Silent
Antigua and Barbuda2003;7454;Millenials
Antigua and Barbuda2003;7831;Generation X
Antigua and Barbuda2003;12129;Boomers
Antigua and Barbuda2003;8423;Millenials
Antigua and Barbuda2003;4054;Silent
Antigua and Barbuda2003;1583;Silent
Antigua and Barbuda2003;6730;Millenials
Antigua and Barbuda2003;6734;Generation X
Antigua and Barbuda2003;10997;Boomers
Antigua and Barbuda2003;8061;Millenials
Antigua and Barbuda2003;1068;Silent
Antigua and Barbuda2004;3665;Silent
Antigua and Barbuda2004;11406;Boomers
Antigua and Barbuda2004;7648;Millenials
Antigua and Barbuda2004;7531;Generation X
Antigua and Barbuda2004;12492;Boomers
Antigua and Barbuda2004;8488;Millenials
Antigua and Barbuda2004;4088;Silent
Antigua and Barbuda2004;1590;Silent
Antigua and Barbuda2004;6968;Millenials
Antigua and Barbuda2004;6556;Generation X
Antigua and Barbuda2004;8196;Millenials
Antigua and Barbuda2004;1094;Silent
Antigua and Barbuda2005;7780;Millenials
Antigua and Barbuda2005;7327;Generation X
Antigua and Barbuda2005;12835;Boomers
Antigua and Barbuda2005;8584;Millenials
Antigua and Barbuda2005;4157;Silent
Antigua and Barbuda2005;1575;Silent
Antigua and Barbuda2005;7113;Millenials
Antigua and Barbuda2005;6444;Generation X
Antigua and Barbuda2005;11778;Boomers
Antigua and Barbuda2005;8358;Millenials
Antigua and Barbuda2005;3748;Silent
Antigua and Barbuda2005;1110;Silent
Antigua and Barbuda2006;7902;Millenials
Antigua and Barbuda2006;7098;Generation X
Antigua and Barbuda2006;13374;Boomers
Antigua and Barbuda2006;8571;Millenials
Antigua and Barbuda2006;4256;Silent
Antigua and Barbuda2006;1573;Silent
Antigua and Barbuda2006;7239;Millenials
Antigua and Barbuda2006;6319;Generation X
Antigua and Barbuda2006;12202;Boomers
Antigua and Barbuda2006;8485;Millenials
Antigua and Barbuda2006;3847;Silent
Antigua and Barbuda2006;1107;Silent
Antigua and Barbuda2007;12530;Boomers
Antigua and Barbuda2007;8013;Millenials
Antigua and Barbuda2007;6962;Generation X
Antigua and Barbuda2007;13860;Boomers
Antigua and Barbuda2007;8555;Generation Z
Antigua and Barbuda2007;4400;Silent
Antigua and Barbuda2007;1568;Silent
Antigua and Barbuda2007;7330;Millenials
Antigua and Barbuda2007;6267;Generation X
Antigua and Barbuda2007;8564;Generation Z
Antigua and Barbuda2007;3988;Silent
Antigua and Barbuda2007;1094;Silent
Antigua and Barbuda2008;8108;Millenials
Antigua and Barbuda2008;6910;Generation X
Antigua and Barbuda2008;14278;Boomers
Antigua and Barbuda2008;8537;Generation Z
Antigua and Barbuda2008;4587;Silent
Antigua and Barbuda2008;1567;Silent
Antigua and Barbuda2008;7404;Millenials
Antigua and Barbuda2008;6274;Generation X
Antigua and Barbuda2008;12782;Boomers
Antigua and Barbuda2008;8599;Generation Z
Antigua and Barbuda2008;4158;Silent
Antigua and Barbuda2008;1069;Silent
Antigua and Barbuda2009;8199;Millenials
Antigua and Barbuda2009;6917;Generation X
Antigua and Barbuda2009;14629;Boomers
Antigua and Barbuda2009;8514;Generation Z
Antigua and Barbuda2009;4793;Silent
Antigua and Barbuda2009;1571;Silent
Antigua and Barbuda2009;7489;Millenials
Antigua and Barbuda2009;6325;Generation X
Antigua and Barbuda2009;12978;Boomers
Antigua and Barbuda2009;8599;Generation Z
Antigua and Barbuda2009;4349;Silent
Antigua and Barbuda2009;1042;Silent
Antigua and Barbuda2012;8435;Millenials
Antigua and Barbuda2012;7215;Millenials
Antigua and Barbuda2012;15193;Generation X
Antigua and Barbuda2012;8401;Generation Z
Antigua and Barbuda2012;5512;Boomers
Antigua and Barbuda2012;1625;Silent
Antigua and Barbuda2012;7893;Millenials
Antigua and Barbuda2012;6629;Millenials
Antigua and Barbuda2012;13280;Generation X
Antigua and Barbuda2012;8475;Generation Z
Antigua and Barbuda2012;4994;Boomers
Antigua and Barbuda2012;1051;Silent
Antigua and Barbuda2013;8494;Millenials
Antigua and Barbuda2013;7397;Millenials
Antigua and Barbuda2013;15236;Generation X
Antigua and Barbuda2013;8353;Generation Z
Antigua and Barbuda2013;5787;Boomers
Antigua and Barbuda2013;1652;Silent
Antigua and Barbuda2013;8061;Millenials
Antigua and Barbuda2013;6782;Millenials
Antigua and Barbuda2013;13302;Generation X
Antigua and Barbuda2013;8405;Generation Z
Antigua and Barbuda2013;5238;Boomers
Antigua and Barbuda2013;1072;Silent
Antigua and Barbuda2014;8537;Millenials
Antigua and Barbuda2014;7578;Millenials
Antigua and Barbuda2014;15273;Generation X
Antigua and Barbuda2014;8296;Generation Z
Antigua and Barbuda2014;6085;Boomers
Antigua and Barbuda2014;1686;Silent
Antigua and Barbuda2014;8208;Millenials
Antigua and Barbuda2014;6928;Millenials
Antigua and Barbuda2014;13325;Generation X
Antigua and Barbuda2014;8335;Generation Z
Antigua and Barbuda2014;5503;Boomers
Antigua and Barbuda2014;1083;Silent
Antigua and Barbuda2015;6403;Boomers
Antigua and Barbuda2015;8561;Millenials
Antigua and Barbuda2015;7740;Millenials
Antigua and Barbuda2015;15323;Generation X
Antigua and Barbuda2015;8239;Generation Z
Antigua and Barbuda2015;1724;Silent
Antigua and Barbuda2015;8331;Millenials
Antigua and Barbuda2015;7059;Millenials
Antigua and Barbuda2015;13370;Generation X
Antigua and Barbuda2015;8268;Generation Z
Antigua and Barbuda2015;5784;Boomers
Antigua and Barbuda2015;1087;Silent
Argentina1985;363000;G.I. Generation
Argentina1985;1997000;G.I. Generation
Argentina1985;3346300;Silent
Argentina1985;2304000;G.I. Generation
Argentina1985;2234200;Boomers
Argentina1985;537000;G.I. Generation
Argentina1985;2415200;Generation X
Argentina1985;3355300;Silent
Argentina1985;2185200;Boomers
Argentina1985;2354200;Generation X
Argentina1985;3044200;Generation X
Argentina1985;2955200;Generation X
Argentina1986;365000;G.I. Generation
Argentina1986;2008300;G.I. Generation
Argentina1986;3365200;Silent
Argentina1986;2246900;Boomers
Argentina1986;540200;G.I. Generation
Argentina1986;2317100;G.I. Generation
Argentina1986;2428900;Generation X
Argentina1986;3374300;Silent
Argentina1986;2197600;Boomers
Argentina1986;2367600;Generation X
Argentina1986;3061400;Generation X
Argentina1986;2971900;Generation X
Argentina1987;369800;G.I. Generation
Argentina1987;2034500;G.I. Generation
Argentina1987;3409100;Silent
Argentina1987;547000;G.I. Generation
Argentina1987;2347300;G.I. Generation
Argentina1987;2276200;Boomers
Argentina1987;2460600;Generation X
Argentina1987;3418300;Silent
Argentina1987;2226200;Boomers
Argentina1987;2398400;Generation X
Argentina1987;3101300;Generation X
Argentina1987;3010700;Generation X
Argentina1988;392000;G.I. Generation
Argentina1988;2079000;G.I. Generation
Argentina1988;3503000;Silent
Argentina1988;602000;G.I. Generation
Argentina1988;2412000;G.I. Generation
Argentina1988;2276000;Boomers
Argentina1988;2524000;Generation X
Argentina1988;3508000;Silent
Argentina1988;2459000;Generation X
Argentina1988;2228000;Boomers
Argentina1988;3210000;Generation X
Argentina1988;3115000;Generation X
Argentina1989;400000;G.I. Generation
Argentina1989;2105000;G.I. Generation
Argentina1989;3561000;Silent
Argentina1989;622000;G.I. Generation
Argentina1989;2287000;Boomers
Argentina1989;2446000;G.I. Generation
Argentina1989;2575000;Generation X
Argentina1989;3563000;Silent
Argentina1989;2240000;Boomers
Argentina1989;2509000;Generation X
Argentina1989;3245000;Generation X
Argentina1989;3149000;Generation X
Argentina1990;411100;G.I. Generation
Argentina1990;2128000;G.I. Generation
Argentina1990;3619000;Silent
Argentina1990;643000;G.I. Generation
Argentina1990;2297000;Boomers
Argentina1990;2477000;G.I. Generation
Argentina1990;2635000;Generation X
Argentina1990;3622000;Silent
Argentina1990;2568000;Generation X
Argentina1990;2251000;Boomers
Argentina1990;3269000;Generation X
Argentina1990;3171000;Generation X
Argentina1991;396000;G.I. Generation
Argentina1991;2130000;Silent
Argentina1991;3580000;Boomers
Argentina1991;2277000;Boomers
Argentina1991;658000;G.I. Generation
Argentina1991;2508000;Silent
Argentina1991;2738000;Generation X
Argentina1991;3691000;Boomers
Argentina1991;2310000;Boomers
Argentina1991;2689000;Generation X
Argentina1991;3369000;Millenials
Argentina1991;3277000;Millenials
Argentina1992;404900;G.I. Generation
Argentina1992;2150500;Silent
Argentina1992;3616600;Boomers
Argentina1992;2306200;Boomers
Argentina1992;2834100;Generation X
Argentina1992;678000;G.I. Generation
Argentina1992;2538400;Silent
Argentina1992;3755500;Boomers
Argentina1992;2329100;Boomers
Argentina1992;2783500;Generation X
Argentina1992;3371800;Millenials
Argentina1992;3276800;Millenials
Argentina1993;413600;G.I. Generation
Argentina1993;2171500;Silent
Argentina1993;3672300;Boomers
Argentina1993;2336300;Boomers
Argentina1993;698400;G.I. Generation
Argentina1993;2932300;Generation X
Argentina1993;2568300;Silent
Argentina1993;3820400;Boomers
Argentina1993;2347800;Boomers
Argentina1993;2879300;Generation X
Argentina1993;3367500;Millenials
Argentina1993;3269800;Millenials
Argentina1994;423100;G.I. Generation
Argentina1994;2192500;Silent
Argentina1994;3729600;Boomers
Argentina1994;2369000;Boomers
Argentina1994;3027200;Generation X
Argentina1994;2597400;Silent
Argentina1994;719700;G.I. Generation
Argentina1994;3885600;Boomers
Argentina1994;2971300;Generation X
Argentina1994;2369900;Boomers
Argentina1994;3363000;Millenials
Argentina1994;3262900;Millenials
Argentina1995;433800;G.I. Generation
Argentina1995;2214000;Silent
Argentina1995;3787800;Boomers
Argentina1995;2404900;Generation X
Argentina1995;3112100;Generation X
Argentina1995;742200;G.I. Generation
Argentina1995;2625900;Silent
Argentina1995;3950100;Boomers
Argentina1995;3053300;Generation X
Argentina1995;2396900;Generation X
Argentina1995;3261100;Millenials
Argentina1995;3363300;Millenials
Argentina1996;445800;G.I. Generation
Argentina1996;2235900;Silent
Argentina1996;3847300;Boomers
Argentina1996;2442900;Generation X
Argentina1996;3185600;Generation X
Argentina1996;766100;G.I. Generation
Argentina1996;2653800;Silent
Argentina1996;4014100;Boomers
Argentina1996;3123600;Generation X
Argentina1996;2428400;Generation X
Argentina1996;3370400;Millenials
Argentina1996;3266800;Millenials
Argentina1997;490152;G.I. Generation
Argentina1997;2252148;Silent
Argentina1997;3934581;Boomers
Argentina1997;2460112;Generation X
Argentina1997;3198193;Generation X
Argentina1997;854095;G.I. Generation
Argentina1997;2668528;Silent
Argentina1997;4083427;Boomers
Argentina1997;3161000;Generation X
Argentina1997;2474330;Generation X
Argentina1997;3429860;Millenials
Argentina1997;3327355;Millenials
Argentina1998;504164;G.I. Generation
Argentina1998;2274972;Silent
Argentina1998;3990829;Boomers
Argentina1998;3243944;Generation X
Argentina1998;2497189;Generation X
Argentina1998;883724;G.I. Generation
Argentina1998;2696429;Silent
Argentina1998;3200362;Generation X
Argentina1998;4143203;Boomers
Argentina1998;2512005;Generation X
Argentina1998;3353473;Millenials
Argentina1998;3456965;Millenials
Argentina1999;515800;G.I. Generation
Argentina1999;2301840;Silent
Argentina1999;4045105;Boomers
Argentina1999;3279728;Generation X
Argentina1999;2543861;Generation X
Argentina1999;2727054;Silent
Argentina1999;912898;G.I. Generation
Argentina1999;4200203;Boomers
Argentina1999;3229424;Generation X
Argentina1999;2559176;Generation X
Argentina1999;3482230;Millenials
Argentina1999;3377543;Millenials
Argentina2000;525161;G.I. Generation
Argentina2000;2333377;Silent
Argentina2000;4096814;Boomers
Argentina2000;3306109;Generation X
Argentina2000;2602314;Generation X
Argentina2000;2760512;Silent
Argentina2000;941957;G.I. Generation
Argentina2000;4253771;Boomers
Argentina2000;3249247;Generation X
Argentina2000;2617723;Generation X
Argentina2000;3396135;Millenials
Argentina2000;3502413;Millenials
Argentina2001;547473;Silent
Argentina2001;2358654;Silent
Argentina2001;3325440;Millenials
Argentina2001;4145861;Boomers
Argentina2001;2675285;Generation X
Argentina2001;978346;Silent
Argentina2001;3262682;Millenials
Argentina2001;2788628;Silent
Argentina2001;4306817;Boomers
Argentina2001;2690206;Generation X
Argentina2001;3519935;Millenials
Argentina2001;3411619;Millenials
Argentina2002;566447;Silent
Argentina2002;2387478;Silent
Argentina2002;3331708;Millenials
Argentina2002;2758283;Generation X
